case_name,url,verdict_summary
"Section 23 in The Right of Children to Free and Compulsory Education Act, 2009",https://www.indiankanoon.org/doc/19583647/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Entire Act,https://www.indiankanoon.org/doc/30032725/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Constitution of India,https://www.indiankanoon.org/doc/237570/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Article 24 in Constitution of India,https://www.indiankanoon.org/doc/1540780/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Constitution,https://www.indiankanoon.org/doc/237570/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Article 226 in Constitution of India,https://www.indiankanoon.org/doc/1712542/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Constitution,https://www.indiankanoon.org/doc/237570/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Article 227 in Constitution of India,https://www.indiankanoon.org/doc/1331149/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Constitution,https://www.indiankanoon.org/doc/237570/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Article 21 in Constitution of India,https://www.indiankanoon.org/doc/1199182/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Article 15 in Constitution of India,https://www.indiankanoon.org/doc/609295/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Constitution,https://www.indiankanoon.org/doc/237570/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
Constitution of India,https://www.indiankanoon.org/doc/237570/,Take notes as you read a judgment using our Virtual Legal Assistant and get email alerts whenever a new judgment matches your query ( Query Alert Service ). Try out our Premium Member Services -- Sign up today and get free trial for one month.
"Union Of India vs Pushpa Rani & Ors on 29 July, 2008",https://www.indiankanoon.org/docfragment/892882/?formInput=Reservation%20Policy,"3.     Shri Amarendra Sharan, learned Additional Solicitor General,

referred to Annexures `A' to `K' appended to letter dated 9.10.2003 to show

that as a result of restructuring of Group C and D cadres, additional posts

became available in the higher grades and argued that the Railway Board

did not commit illegality by issuing direction for implementation of the policy of reservation qua those posts and argued that the policy of reservation was rightly made applicable in relation to the additional posts. In support of this argument he strongly relied on the case of K. Manickaraj

vs. Union of India [1997 (4) SCC 342]. Shri Sharan emphasized that

restructuring of cadres undertaken for enhancing organizational efficiency

and functional, operational and administrative requirements cannot be

treated as a simple exercise for upgradation of existing posts and the

Tribunal did not have the jurisdiction to nullify the instructions issued by

the Railway Board or issue directions for making appointment by ignoring

the policy of reservation . He distinguished the orders passed in Union of

India vs. V.K. Sirothia [1999 SCC (L&S) 938] and All India Non-SC/ST

Employees' Association (Railway) vs. V.K. Agarwal and Others [2001

(10) SCC 165] by pointing out that those were the cases of mass

upgradation of posts and not restructuring of cadres resulting in creation of

additional posts in different grades. 5.       Dr. Rajiv Dhawan, Senior Advocate, appearing for some of the

respondents, argued that restructuring of Group C and D cadres is nothing

but an exercise for upgradation of the existing posts and the Tribunal did

not commit any illegality by striking down para 14 of letter dated 9.10.2003

vide which the policy of reservation was made applicable to the upgraded

posts.    He further argued that if the policy of reservation is applied at the

stage of restructuring of Group C and D cadres then the same would amount

to giving double benefit to the members of Scheduled Castes and Scheduled

Tribes, who had already been given out-of turn promotions. Dr. Dhawan

relied on the larger Bench judgment of this Court in Indra Sawhney and

Others vs. Union of India and Others [1992 Supp. (3) SCC 217] and of

the Constitution Bench in M. Nagaraj and Others vs. Union of India and

Others [2006 (8) SCC 212] and argued that even if the upgraded posts are



required to be filled by promotion after following the process of selection,

the policy of reservation of posts for Scheduled Castes and Scheduled

Tribes cannot be applied qua such posts because no quantifiable data

showing backwardness of Scheduled Castes and Scheduled Tribes and

inadequacy of their representation was produced before the Tribunal. Dr.

Dhawan made specific reference to paragraphs 85, 86, 106, 117, 119 and

121 of the judgment in M. Nagaraj 's case and argued that the enabling

provision contained in Article 16(4-A) cannot be relied upon by the

appellants to justify implementation of the policy of reservation at the stage

of restructuring of Group C and D cadres because the members of

Scheduled Castes and Scheduled Tribes are adequately represented in those

cadres and efficiency of the administration will be adversely affected by

giving double benefit to them. He then argued that even if para 14 of letter

dated 9.10.2003 is held to be constitutionally valid, the policy of reservation should be made applicable only qua posts which become available after

9.10.2003. Another argument of the learned senior counsel is that if

restructuring exercise is intended to remove stagnation and improve the

quality of services then implementation thereof cannot be made subject to

the policy of reservation . Shri Sushil Jain and Smt. Kiran Suri, Advocates,

adopted the arguments of Dr. Dhawan and submitted that view expressed by



different benches of the Tribunal that the policy of reservation cannot be

applied at the stage of making appointment against the upgraded"
"State Of Raj And Ors vs Vikas Kumar Agarwal And Ors on 2 July, 2013",https://www.indiankanoon.org/docfragment/39736192/?formInput=Reservation%20Policy,"The NCTE in its reply averred that as the academic authority  designated under the Act of 2009, it (NCTE) by its notification dated 23.8.2010 laid down the minimum qualifications for a candidate to be eligible for appointment as Teacher for  Class I to VIII. These norms, which are uniformly applicable to all the States, inter-alia enjoined that a person to be eligible for such appointment would have to pass TET conducted by the appropriate Government in accordance with its (NCTE) guidelines. These guidelines, the answering respondent stated, were circulated vide its letter dated 11.2.2011 whereby in terms of clause-9 thereof, relaxation/concession of/to the qualifying norm of 60% in TET examination was granted vis-a-vis candidates belonging to SC/ST/OBC/differently abled persons in accordance with the extant reservation policy . While clarifying that the process for conducting TET and recruitment of Teachers is within the domain of respective State Governments and that it had no role in these exercises, it (NCTE) underlined that the State Governments were required to adhere to the minimum qualifications and the guidelines  stipulated by it. That the  extent of relaxation in the cut off marks to be granted was also within the jurisdiction and realm of the respective State Governments depending  upon their existing reservation policy , was highlighted as well. The answering respondent explained that the concept of relaxation in TET score ingrained in clause 9(a) of the guidelines dated 11.2.2011 did denote that the appropriate Government was authorized to grant such concession in the minimum pass marks to be obtained in the TET examination by the aforementioned reserved category candidates. This, however, had no nexus with the lowering of minimum qualifying marks at the  secondary or graduation level(academic qualification) for entry in the Teacher Education Course  (s) for the reserved category candidates. While reiterating that as per Clause 9(b) of the guidelines dated 11.2.2011, weightage of the marks secured in the TET examination had to be accorded in the recruitment process, it was contended that relaxation upto 5% marks to the candidates belonging to the reserved category was with regard to the minimum marks specified in paragraph (1) of the notification dated 23.8.2010 relatable to academic qualifications i.e. senior secondary or graduation, as the case may be, for admission into various Teacher Education Courses. According to the NCTE, the relaxation was qua qualifying marks in the academic qualification in conformity with the mandate of the National Council of Teachers Education (Recognized Norms and Procedure) Regulations, 2009 (for short, hereinafter referred to as the Regulations of 2009). This view is fortified by the letter No. F.No.61-1/2011/NCTE/N&S dated 1.4.2011 of the NCTE addressed, amongst others, to all Secretaries and Commissioners of the State Governments/UTs clarifying that following the issuance of the notification dated 23.8.2010, it had received representations from the State Government and other stakeholders that in respect of SCs/STs etc. relaxation upto 5% in the qualifying marks should be allowed, since such relaxation is permissible by the NCTE for admission in various teacher education courses. Referring to the minimum marks in the notification dated 23.8.2010, in senior secondary (or its equivalent) or in B.A./B.Sc., it was elucidated that following its meeting held on 16.3.2011 it was decided that relaxation upto 5% in such qualifying marks would be available to SCs/STs etc., in accordance with the extant policy of the State Government /UTs and other school managements. There is no reference of such relaxation to pass marks in the TET. This accommodation of the NCTE, by way of concession of 5% marks qua the academic qualifications, is also evident from the provisions of the National Council for Teacher Education (Recognition Norms & Procedure) Regulations, 2009 (hereinafter referred to as '2"
